"date","ref","plate","duration_feeding","feedingRate"
2022-11-09,"k-m+_w2_1.3",2,6.95916666666667,0.248784285579521
2022-11-03,"k-m-_c1_1.9",2,8.45166666666667,0.0924288455104932
2022-11-07,"k-m+_w2_2.3",2,6.61027777777778,0.225928914900345
2022-11-09,"k+m+_w2_1.3",2,6.87333333333333,0.53672285990451
2022-11-03,"k+m-_c_2",2,NA,NA
2022-11-07,"k+m+_m37_2.1",2,6.59,0.140791704781436
2022-11-09,"k+m+_c1_1.12",2,6.84861111111111,0.104628497287839
2022-11-03,"k+m-_c1_1.3",2,8.42805555555556,0.242028605804187
2022-11-07,"k-m+_c1_2.8",2,6.31944444444444,-0.422890662500319
2022-11-09,"k+m-_c1_1.6",2,6.80722222222222,0.269241912144379
2022-11-03,"k+m+_c_2",2,NA,NA
2022-11-07,"k-m-_c1_2.7",2,6.53833333333333,0.164446103050609
2022-11-09,"k+m+_c1_1.10",2,6.77555555555556,-0.10600715171225
2022-11-03,"k-m-_c_2",2,NA,NA
2022-11-07,"k-m+_m37_2.7",2,6.51333333333333,0.30316970864358
2022-11-09,"k-m+_c1_1.8",2,NA,NA
2022-11-03,"k-m+_w2_1.5",2,8.40333333333333,-0.00697951541340516
2022-11-07,"k-m+_c_2",2,NA,NA
2022-11-09,"k-m+_w2_1.4",2,6.71555555555556,0.0308628680764481
2022-11-07,"k-m-_m37_2.5",2,6.48722222222222,0.757788534134269
2022-11-09,"k-m+_c1_1.6",2,NA,NA
2022-11-07,"k+m+_c1_2.4",2,6.46777777777778,0.254732365175142
2022-11-09,"k+m-_m37_1.3",2,6.63138888888889,0.450748915579957
2022-11-07,"k+m+_m37_2.9",2,6.44833333333333,-0.184836160142339
2022-11-09,"k-m+_c1_1.10",2,6.59194444444444,0.0554579851846411
2022-11-07,"k+m-_w2_2.2",2,6.42638888888889,0.193551498109292
2022-11-09,"k-m-_w2_1.1",2,6.55777777777778,0.570101307732209
2022-11-07,"k-m-_w2_2.1",2,6.40388888888889,0.159480429545835
2022-11-09,"k-m-_c1_1.2",2,6.53111111111111,0.624336829417596
2022-11-07,"k+m+_c1_2.3",2,6.38361111111111,-0.132995952148014
2022-11-03,"k+m+_w2_1.3",3,8.61638888888889,0.196623149375856
2022-11-03,"k-m+_c1_1.7",3,8.58583333333333,-0.0909845046265576
2022-11-03,"k+m+_c_3",3,NA,NA
2022-11-03,"k-m-_m37_1.2",3,8.55722222222222,-0.044584287954215
2022-11-03,"k-m+_c_3",3,NA,NA
2022-11-03,"k+m-_c_3",3,NA,NA
2022-11-03,"k-m+_c1_1.10",3,8.53083333333333,0.280033496081683
2022-11-03,"k-m-_m37_1.3",3,8.50638888888889,0.303869151923152
2022-11-03,"k-m+_c1_1.4",3,8.39833333333333,0.0225378168908738
2022-11-03,"k-m+_c1_1.5",3,8.36083333333333,0.159710626083352
2022-11-03,"k+m-_c1_1.12",3,8.32527777777778,-0.172475830170539
2022-11-03,"k+m-_c1_1.6",3,8.29861111111111,-0.28997226829865
2022-11-03,"k-m-_c1_1.11",3,NA,NA
2022-11-03,"k-m-_c_3",3,NA,NA
2022-11-03,"k+m+_c1_1.7",3,8.26055555555556,0.332639452356293
2022-11-03,"k-m-_c1_1.3",3,NA,NA
2022-11-03,"k-m+_c1_1.1",3,8.19527777777778,-0.0375480361998147
2022-11-03,"k+m+_c1_1.11",3,NA,NA
2022-11-03,"k-m+_w2_1.4",3,8.15611111111111,0.190278047088253
2022-11-03,"k+m+_w2_1.4",3,NA,NA
2022-11-03,"k+m-_c1_1.10",3,8.09194444444444,0
2022-11-03,"k+m-_w2_1.2",3,8.04833333333333,-0.217363573613169
2022-11-03,"k-m-_m37_1.1",3,8.01861111111111,0.0934863125729862
2022-11-03,"k-m+_w2_1.3",3,7.9975,-0.140308834769525
2022-11-03,"k+m+_m37_1.2",3,7.96694444444444,-0.0557952460705698
2022-11-03,"k-m-_w2_1.3",3,7.94361111111111,0.140430446991185
