"ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2"
"k+m-_c1_6.2",1,6.95277777777778,0.131193619567711,0.797360991,0.2957612576,7,1,6.49694444444444,0.212638940754603,1.3136764176,0.3553196094,14
"k-m+_w2_1.1",1,8.91638888888889,-0.118861393527104,0.8868073196,0.3346865036,8,1,7.86638888888889,0.0877058996973852,1.3883273986,0.3938118362,14
"k+m-_w2_4.3",1,7.38972222222222,0.355039413631157,1.1575529173,0.4200867392,7,1,6.98444444444444,0.284852944891484,1.4836511348,0.070078854,14
"k-m+_m37_5.1",1,7.03638888888889,0.0779897346385865,1.211871846,0.439172985,7,1,7.44,0.256371138789718,1.4466871498,0.3964014678,14
"k-m+_c1_6.3",1,6.92694444444444,0.159761015517131,0.970940273,0.0141104874,7,1,6.56694444444444,0.47439610751925,1.3076086116,0.0116679472,14
"k+m+_w2_1.5",1,8.89277777777778,-0.134206387042306,1.103413973,0.3888484222,8,1,7.36944444444444,0.390371451498836,1.4122009348,0.2687571714,14
"k+m-_m37_2.7",1,8.0325,0.249211545837486,1.3040209632,0.424366055,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_4.1",1,7.36527777777778,0.0837627186193565,0.9203446541,0.373808752,7,1,6.62194444444444,0.253689430119077,1.3220428474,0.4309714012,14
"k+m+_m37_6.2",1,6.90666666666667,-0.026896311157725,1.0896069394,0.4359888791,7,1,6.87333333333333,0.0574376493314075,1.2671412935,0.398450181,14
"k+m+_c1_1.10",1,8.795,-0.149822942161596,0.8780463516,0.3683309372,8,2,6.77555555555556,-0.10600715171225,NA,NA,14
"k-m+_w2_2.1",1,8.00805555555556,0.464593569072099,1.2282133678,0.371502051,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_4.5",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k-m-_m37_5.4",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_6.4",1,6.88166666666667,0.17635387309896,0.906460214,0.3251874116,7,1,6.54055555555556,0.19755467311986,1.371623114,0.3814530344,14
"k-m+_m37_1.3",1,8.75944444444444,0.0287216384506113,1.0720059586,0.0442860176,8,2,7.37444444444444,0.116095189770518,1.1068472402,0.076570332,14
"k-m+_m37_2.6",1,7.70777777777778,0.226504421021511,0.8765634742,0.0920726886,7,NA,NA,NA,NA,NA,NA
"k+m-_w2_4.1",1,7.31805555555556,0.154394651058799,1.1054920232,0.258701286,7,1,6.95305555555556,0.25925554943526,1.3963407938,0.3552627642,14
"k+m+_c1_5.3",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k-m+_m37_6.1",1,6.86277777777778,0.24910874820574,1.120275509,0.383604897,7,1,6.98888888888889,0.359591391816877,1.4434896454,0.3730670466,14
"k-m+_c1_2.1",1,7.68361111111111,0.639795865159311,1.2611024816,0.4515564248,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_4.1",1,7.28972222222222,-0.0544125759298683,0.8772436354,0.3017071055,7,1,6.59388888888889,0.239253033694873,1.2785863684,0.426893609,14
"k+m+_m37_5.3",1,6.9825,0.241777113605517,1.1634083412,0.4074552684,7,NA,NA,NA,NA,NA,NA
"k-m+_w2_6.1",1,6.83027777777778,0.177680704874278,0.830192396,0.2281596656,7,1,6.90083333333333,0.195592951861016,0.9967012324,0.2808663928,14
"k-m-_c1_2.10",1,7.65638888888889,0.356100243919046,1.2757166256,0.4000523622,7,NA,NA,NA,NA,NA,NA
"k+m+_w2_4.3",1,7.2525,-0.10729682503524,0.8287616394,0.1969576071,7,NA,NA,NA,NA,NA,NA
"k-m-_m37_2.4",1,7.635,-0.014799679441956,1.206984505,0.4241220372,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_4.4",1,7.19777777777778,-0.170333574997066,0.679346622,0.2092092336,7,1,6.845,0.21138988530041,0.8089857582,0.201310621,14
"k-m+_w2_2.2",1,7.61138888888889,0.408067878949223,1.2882128922,0.2564083264,7,NA,NA,NA,NA,NA,NA
"k-m-_m37_2.3",1,7.57527777777778,-0.0729513561036186,0.8095293944,0.0970469992,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_2.1",1,7.53166666666667,0.362523375692188,1.0670074418,0.3376774298,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_1.2",2,8.93527777777778,0.308872359150347,1.149580505,0.4518317862,8,2,7.06166666666667,0.137148679711944,1.4048067154,0.494650141,14
"k-m-_m37_2.2",2,7.10333333333333,0.626570970722492,1.0079801786,0.0713435454,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_1.1",2,8.90444444444444,0.383075262306994,1.0703654234,0.2633887798,8,2,6.55777777777778,0.570101307732209,1.3548852506,0.3384637122,14
"k+m-_m37_2.2",2,7.08222222222222,0.067652996746639,0.9950043092,0.051901471,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_1.4",2,7.825,0.0605062244053651,0.8297901362,0.3205244288,8,1,8.33472222222222,0.374787157524329,1.3933358468,0.3815263134,14
"k-m+_m37_1.2",2,8.85972222222222,0.11156764530236,1.2217299162,0.36491037,8,1,7.76888888888889,0.0132700696409828,1.3967206,0.3446500092,14
"k+m-_c1_2.7",2,7.05361111111111,-0.0568786585444536,1.1798217196,0.0806664884,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_1.5",2,8.835,0.198306835342491,NA,0.8346839034,8,1,8.02694444444444,0.462272641799147,1.6020793714,0.493222534,14
"k+m-_c1_2.3",2,7.0325,-0.222756928610561,1.298528137,0.4186734324,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_1.1",2,8.815,0.239715364341698,1.0803927592,0.385093464,8,1,7.57333333333333,0.345111924473249,1.3543607406,0.3657207316,14
"k+m+_m37_2.7",2,7.00694444444444,0.0273584531170634,1.2328504934,0.3935371606,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_1.5",2,8.7875,0.220945677884447,0.9679374596,0.3829585686,8,2,7.51222222222222,-0.0689876661412918,NA,NA,14
