"ref","date","variable","value_mean","n_obs","range","range_prop","check"
"k+m-_c1_6.3","2022-12-19","spine",0.0997505244,1,0,0,FALSE
"k+m-_c1_6.5","2022-12-12","body",0.8984158816,1,0,0,FALSE
"k+m-_c1_6.5","2022-12-12","spine",0.3246477124,1,0,0,FALSE
"k+m-_c1_6.5","2022-12-19","body",1.2453641844,1,0,0,FALSE
"k+m-_c1_6.5","2022-12-19","spine",0.385784725,1,0,0,FALSE
"k+m-_m37_1.1","2022-11-03","body",1.0803927592,1,0,0,FALSE
"k+m-_m37_1.1","2022-11-03","spine",0.385093464,1,0,0,FALSE
"k+m-_m37_1.1","2022-11-09","body",1.3543607406,1,0,0,FALSE
"k+m-_m37_1.1","2022-11-09","spine",0.3657207316,1,0,0,FALSE
"k+m-_m37_1.2","2022-11-03","body",0.9386113308,1,0,0,FALSE
"k+m-_m37_1.2","2022-11-03","spine",0.361390946,1,0,0,FALSE
"k+m-_m37_1.2","2022-11-09","body",1.40971524,1,0,0,FALSE
"k+m-_m37_1.2","2022-11-09","spine",0.363160818,1,0,0,FALSE
"k+m-_m37_1.3","2022-11-03","body",0.9307187634,1,0,0,FALSE
"k+m-_m37_1.3","2022-11-03","spine",0.3071507446,1,0,0,FALSE
"k+m-_m37_1.3","2022-11-09","body",1.2635172342,1,0,0,FALSE
"k+m-_m37_1.3","2022-11-09","spine",0.3777198186,1,0,0,FALSE
"k+m-_m37_2.1","2022-11-07","body",1.0670074418,1,0,0,FALSE
"k+m-_m37_2.1","2022-11-07","spine",0.3376774298,1,0,0,FALSE
"k+m-_m37_2.2","2022-11-07","body",0.9950043092,1,0,0,FALSE
"k+m-_m37_2.2","2022-11-07","spine",0.051901471,1,0,0,FALSE
"k+m-_m37_2.3","2022-11-07","body",0.9022210048,1,0,0,FALSE
"k+m-_m37_2.3","2022-11-07","spine",0.1456439302,1,0,0,FALSE
"k+m-_m37_2.5","2022-11-07","body",0.94265115,1,0,0,FALSE
"k+m-_m37_2.5","2022-11-07","spine",0.3459770576,1,0,0,FALSE
"k+m-_m37_2.7","2022-11-07","body",1.3040209632,1,0,0,FALSE
"k+m-_m37_2.7","2022-11-07","spine",0.424366055,1,0,0,FALSE
"k+m-_m37_2.8","2022-11-07","body",1.1632599036,1,0,0,FALSE
"k+m-_m37_2.8","2022-11-07","spine",0.3195686014,1,0,0,FALSE
"k+m-_m37_2.9","2022-11-07","body",1.1062386054,1,0,0,FALSE
"k+m-_m37_2.9","2022-11-07","spine",0.4244183536,1,0,0,FALSE
"k+m-_m37_5.2","2022-12-11","body",0.9222260956,1,0,0,FALSE
"k+m-_m37_5.2","2022-12-11","spine",0.1896712996,1,0,0,FALSE
"k+m-_m37_5.2","2022-12-18","body",1.174025211,1,0,0,FALSE
"k+m-_m37_5.2","2022-12-18","spine",0.2863321426,1,0,0,FALSE
"k+m-_m37_5.3","2022-12-18","body",1.4366320518,1,0,0,FALSE
"k+m-_m37_5.3","2022-12-18","spine",0.3931242582,1,0,0,FALSE
"k+m-_m37_6.1","2022-12-12","body",0.914736804,1,0,0,FALSE
"k+m-_m37_6.1","2022-12-12","spine",0.3708551384,1,0,0,FALSE
"k+m-_m37_6.1","2022-12-19","body",1.3295658448,1,0,0,FALSE
"k+m-_m37_6.1","2022-12-19","spine",0.4399073244,1,0,0,FALSE
"k+m-_m37_6.2","2022-12-12","body",0.9962135016,1,0,0,FALSE
"k+m-_m37_6.2","2022-12-12","spine",0.105450005,1,0,0,FALSE
"k+m-_m37_6.2","2022-12-19","body",1.3872442156,1,0,0,FALSE
"k+m-_m37_6.2","2022-12-19","spine",0.1976199248,1,0,0,FALSE
"k+m-_w2_1.1","2022-11-03","body",1.0343398922,1,0,0,FALSE
"k+m-_w2_1.1","2022-11-03","spine",0.3530960934,1,0,0,FALSE
"k+m-_w2_1.1","2022-11-09","body",1.303718246,1,0,0,FALSE
"k+m-_w2_1.1","2022-11-09","spine",0.3579482046,1,0,0,FALSE
"k+m-_w2_1.2","2022-11-03","body",1.0378297252,1,0,0,FALSE
"k+m-_w2_1.2","2022-11-03","spine",0.3920649004,1,0,0,FALSE
"k+m-_w2_1.3","2022-11-03","body",1.0122505028,1,0,0,FALSE
"k+m-_w2_1.3","2022-11-03","spine",0.3334347662,1,0,0,FALSE
"k+m-_w2_1.3","2022-11-09","body",1.5326312502,1,0,0,FALSE
"k+m-_w2_1.3","2022-11-09","spine",0.1395447044,1,0,0,FALSE
"k+m-_w2_1.4","2022-11-03","body",1.1092406568,1,0,0,FALSE
"k+m-_w2_1.4","2022-11-03","spine",0.37910897,1,0,0,FALSE
"k+m-_w2_1.4","2022-11-09","body",1.4571520006,1,0,0,FALSE
"k+m-_w2_1.4","2022-11-09","spine",0.3538817916,1,0,0,FALSE
"k+m-_w2_1.5","2022-11-03","body",0.988854131,1,0,0,FALSE
"k+m-_w2_1.5","2022-11-03","spine",0.3701973546,1,0,0,FALSE
"k+m-_w2_1.5","2022-11-09","body",1.2593026122,1,0,0,FALSE
"k+m-_w2_1.5","2022-11-09","spine",0.3449964144,1,0,0,FALSE
"k+m-_w2_2.1","2022-11-07","body",1.2474358592,1,0,0,FALSE
"k+m-_w2_2.1","2022-11-07","spine",0.4110880018,1,0,0,FALSE
"k+m-_w2_2.2","2022-11-07","body",1.1168908828,1,0,0,FALSE
"k+m-_w2_2.2","2022-11-07","spine",0.2175033496,1,0,0,FALSE
"k+m-_w2_2.3","2022-11-07","body",1.3270585854,1,0,0,FALSE
"k+m-_w2_2.3","2022-11-07","spine",0.4043052874,1,0,0,FALSE
"k+m-_w2_4.1","2022-12-06","body",1.1054920232,2,1.78307999998406e-05,1.61292887019002e-05,FALSE
"k+m-_w2_4.1","2022-12-06","spine",0.258701286,2,0.00134457439999996,0.00519740129935019,FALSE
"k+m-_w2_4.1","2022-12-13","body",1.3963407938,1,0,0,FALSE
"k+m-_w2_4.1","2022-12-13","spine",0.3552627642,1,0,0,FALSE
"k+m-_w2_4.3","2022-12-06","body",1.1575529173,2,0.00386742939999984,0.00334103896435305,FALSE
"k+m-_w2_4.3","2022-12-06","spine",0.4200867392,2,0.00120583960000004,0.00287045385506907,FALSE
"k+m-_w2_4.3","2022-12-13","body",1.4836511348,1,0,0,FALSE
"k+m-_w2_4.3","2022-12-13","spine",0.070078854,1,0,0,FALSE
"k+m-_w2_5.1","2022-12-11","body",1.2394867514,1,0,0,FALSE
"k+m-_w2_5.1","2022-12-11","spine",0.4365747682,1,0,0,FALSE
"k+m-_w2_5.1","2022-12-18","body",1.5602100368,1,0,0,FALSE
"k+m-_w2_5.1","2022-12-18","spine",0.2805587988,1,0,0,FALSE
"k+m-_w2_6.1","2022-12-12","body",0.9614419684,1,0,0,FALSE
"k+m-_w2_6.1","2022-12-12","spine",0.1054812978,1,0,0,FALSE
