"ref","date","body","spine"
"k+m+_c1_1.5","2022-11-03",0.9679374596,0.3829585686
"k+m+_c1_1.5","2022-11-09",1.1945196582,0.3817055866
"k+m+_c1_1.7","2022-11-03",1.1931819926,0.4346924504
"k+m+_c1_1.7","2022-11-09",1.3138172606,0.465899246
"k+m+_c1_2.10","2022-11-07",1.3365999176,0.4294047546
"k+m+_c1_2.2","2022-11-09",NA,0.4658529164
"k+m+_c1_2.3","2022-11-07",1.2899429116,0.410802328
"k+m+_c1_2.4","2022-11-07",1.1916772458,0.385719701
"k+m+_c1_2.5","2022-11-07",1.1686440432,0.3527086926
"k+m+_c1_2.9","2022-11-07",1.0082713896,0.3986743106
"k+m+_c1_4.1","2022-12-06",0.8772436354,0.3017071055
"k+m+_c1_4.1","2022-12-13",1.2785863684,0.426893609
"k+m+_c1_4.4","2022-12-06",0.9936608651,0.3268898593
"k+m+_c1_4.6","2022-12-06",0.7584788361,0.2768562154
"k+m+_c1_4.6","2022-12-13",1.2573290068,0.3680673868
"k+m+_c1_5.1","2022-12-11",0.857793814,0.3867485407
"k+m+_c1_5.1","2022-12-18",1.1530090351,0.4279309958
"k+m+_c1_6.2","2022-12-12",1.1452899116,0.4091210512
"k+m+_c1_6.2","2022-12-19",1.4207670213,0.4244974365
"k+m+_m37_1.1","2022-11-03",1.1797456212,0.4058444004
"k+m+_m37_1.1","2022-11-09",1.4195857562,0.4129381632
"k+m+_m37_1.2","2022-11-03",1.231373839,0.4297728768
"k+m+_m37_1.2","2022-11-09",1.4301775054,0.397003143
"k+m+_m37_2.1","2022-11-07",1.3178856294,0.400806031
"k+m+_m37_2.2","2022-11-07",1.1650505528,0.3586992318
"k+m+_m37_2.3","2022-11-07",1.0713176694,0.3449809712
"k+m+_m37_2.5","2022-11-07",1.2516950074,0.377041664
"k+m+_m37_2.6","2022-11-07",1.1531715824,0.3439579862
"k+m+_m37_2.7","2022-11-07",1.2328504934,0.3935371606
"k+m+_m37_2.9","2022-11-07",1.3527568576,0.404995507
"k+m+_m37_5.1","2022-12-11",1.1480354738,0.4258658488
"k+m+_m37_5.1","2022-12-18",1.3985474442,0.3934643007
"k+m+_m37_5.2","2022-12-11",1.1449043142,0.4425695746
"k+m+_m37_5.2","2022-12-18",1.382905413,0.3928647972
"k+m+_m37_5.3","2022-12-11",1.1634083412,0.4074552684
"k+m+_m37_5.4","2022-12-11",0.9303783272,0.3114544444
"k+m+_m37_6.2","2022-12-12",1.0896069394,0.4359888791
"k+m+_m37_6.2","2022-12-19",1.2671412935,0.398450181
"k+m+_w2_1.1","2022-11-03",1.0810950692,0.41399079
"k+m+_w2_1.1","2022-11-09",1.3729048996,0.3288980976
"k+m+_w2_1.3","2022-11-03",1.0148415314,0.0441276062666667
"k+m+_w2_1.3","2022-11-09",1.4086701062,0.3440386566
"k+m+_w2_1.4","2022-11-09",1.1801373908,0.3120961754
"k+m+_w2_1.5","2022-11-03",1.103413973,0.3888484222
"k+m+_w2_1.5","2022-11-09",1.4122009348,0.2687571714
"k+m+_w2_2.2","2022-11-07",1.2879932584,0.3976023544
"k+m+_w2_4.1","2022-12-06",1.1263052531,0.3653567115
"k+m+_w2_4.1","2022-12-13",1.4354409696,0.4623641502
"k+m+_w2_4.2","2022-12-06",1.083951731,0.3951024991
"k+m+_w2_4.2","2022-12-13",1.3421754462,0.0204409802
"k+m+_w2_4.3","2022-12-06",0.8287616394,0.1969576071
"k+m+_w2_5.1","2022-12-11",1.1650456252,0.4027621612
"k+m+_w2_5.1","2022-12-18",1.5050858392,0.3988006248
"k+m+_w2_6.1","2022-12-12",0.775157073,0.3589702244
"k+m+_w2_6.1","2022-12-19",1.1003653634,0.3112424814
