"ref","treatment","clone","kairomone","metsch","block","rep","fate","day_fate","infectionFate","day_infection","day_clutch1","r1"
"k+m+_c1_4.6","k+m+","c1",TRUE,TRUE,4,6,"alive",21,FALSE,NA,16,0.0866434
"k+m+_w2_4.1","k+m+","w2",TRUE,TRUE,4,1,"alive",21,FALSE,NA,12,0.15973432
"k+m+_w2_4.2","k+m+","w2",TRUE,TRUE,4,2,"alive",21,FALSE,NA,14,0.11657875
"k+m+_w2_4.3","k+m+","w2",TRUE,TRUE,4,3,"lost",7,FALSE,NA,NA,0
"k-m-_c1_5.1","k-m-","c1",FALSE,FALSE,5,1,"alive",21,FALSE,NA,16,0.1184961
"k-m-_c1_5.2","k-m-","c1",FALSE,FALSE,5,2,"lost",7,FALSE,NA,NA,0
"k-m-_c1_5.3","k-m-","c1",FALSE,FALSE,5,3,"dead",4,FALSE,NA,NA,0
"k-m-_m37_5.1","k-m-","m37",FALSE,FALSE,5,1,"missing",2,FALSE,NA,NA,0
"k-m-_m37_5.2","k-m-","m37",FALSE,FALSE,5,2,"dead",4,FALSE,NA,NA,0
"k-m-_m37_5.3","k-m-","m37",FALSE,FALSE,5,3,"alive",21,FALSE,NA,17,0.08154673
"k-m-_m37_5.4","k-m-","m37",FALSE,FALSE,5,4,"dead",7,FALSE,NA,NA,0
"k-m-_w2_5.1","k-m-","w2",FALSE,FALSE,5,1,"alive",21,FALSE,NA,NA,0
"k+m-_c1_5.1","k+m-","c1",TRUE,FALSE,5,1,"alive",21,FALSE,NA,NA,0
"k+m-_c1_5.2","k+m-","c1",TRUE,FALSE,5,2,"dead",2,FALSE,NA,NA,0
"k+m-_c1_5.3","k+m-","c1",TRUE,FALSE,5,3,"dead",9,FALSE,NA,NA,0
"k+m-_m37_5.1","k+m-","m37",TRUE,FALSE,5,1,"dead",4,FALSE,NA,NA,0
"k+m-_m37_5.2","k+m-","m37",TRUE,FALSE,5,2,"alive",21,FALSE,NA,16,0.09847316
"k+m-_m37_5.3","k+m-","m37",TRUE,FALSE,5,3,"alive",21,FALSE,NA,14,0.11355998
"k+m-_m37_5.4","k+m-","m37",TRUE,FALSE,5,4,"missing",2,FALSE,NA,NA,0
"k+m-_w2_5.1","k+m-","w2",TRUE,FALSE,5,1,"alive",21,FALSE,NA,14,0.1447807
"k-m+_c1_5.1","k-m+","c1",FALSE,TRUE,5,1,"dead",4,FALSE,NA,NA,0
"k-m+_c1_5.2","k-m+","c1",FALSE,TRUE,5,2,"dead",7,FALSE,NA,NA,0
"k-m+_c1_5.3","k-m+","c1",FALSE,TRUE,5,3,"dead",4,FALSE,NA,NA,0
"k-m+_m37_5.1","k-m+","m37",FALSE,TRUE,5,1,"alive",21,FALSE,NA,17,0.09467282
"k-m+_m37_5.2","k-m+","m37",FALSE,TRUE,5,2,"alive",21,FALSE,NA,14,0.10259474
"k-m+_m37_5.3","k-m+","m37",FALSE,TRUE,5,3,"alive",21,FALSE,NA,14,0.09858842
"k-m+_m37_5.4","k-m+","m37",FALSE,TRUE,5,4,"alive",21,FALSE,NA,14,0.12888175
"k-m+_w2_5.1","k-m+","w2",FALSE,TRUE,5,1,"alive",21,FALSE,NA,16,0.12714906
"k+m+_c1_5.1","k+m+","c1",TRUE,TRUE,5,1,"dead",16,FALSE,NA,NA,0
"k+m+_c1_5.2","k+m+","c1",TRUE,TRUE,5,2,"dead",4,FALSE,NA,NA,0
"k+m+_c1_5.3","k+m+","c1",TRUE,TRUE,5,3,"dead",7,FALSE,NA,NA,0
"k+m+_m37_5.1","k+m+","m37",TRUE,TRUE,5,1,"alive",21,TRUE,21,14,0.11657875
